[2,2]
[3,3]
[4,4]
[5,5]
[6,6]
[7,7]
[8,8]
[9,9]
[10,10]
[11,11]
[12,12]
[13,13]
[14,14]
[15,15]
[16,16]
[17,17]
[18,18]
[19,19]
[20,20]
[21,21]
[22,22]
[23,23]
[23,24]
[23,25]
[23,26]
[23,27]
[24,28]
[24,29]
[24,30]
[25,31]
[26,32]
[27,33]
[28,34]
[29,34]
[30,34]
[31,34]
[32,34]
[33,34]
[34,34]
[35,34]
[36,34]
[37,34]
[38,34]
[39,33]
[40,32]
[41,31]
[42,30]
[43,29]
[44,28]
[45,27]
[46,26]
[47,26]
[48,26]
[49,27]
[50,28]
[51,29]
[52,30]
[53,31]

